Site,parameter,mean,sd
BP,NN,1.2125000000000001,1.399092654690981
BP,Phosphate,0.18575,0.04313886343497634
BP,Salinity,34.29079775025,0.32443813244871705
BP,Silicate,10.21575,7.777118933786239
BP,TA,2253.80160755,59.508614567704385
BP,Temp_in,24.89157751575,1.1696822506229856
BP,pH,8.105153926725,0.15625750506310554
BP,percent_sgd,1.28661838785,0.9794860117999373
W,NN,0.17930232558139536,0.0607647825963914
W,Phosphate,0.1144186046511628,0.01943270752664611
W,Salinity,34.544652286046514,0.07380372613240903
W,Silicate,3.106279069767442,1.6792997736525752
W,TA,2276.765083744186,24.2057204338685
W,Temp_in,24.66527037372093,0.8520854721825916
W,pH,8.008697674418604,0.08152140673692805
W,percent_sgd,0.40132804518604653,0.2169637950839212
